district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
汐止區,土地,水源段196-7地號,501.62,都市：其他:保護區,,,1110210,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4250000,8473,,0,0,,RPOOMLNLKHHGFDF57DA,0,0,0,無
汐止區,房地(土地+建物)+車位,新北市汐止區伯爵街５９巷１５號４樓,65.72,,山坡地保育區,丙種建築用地,1110215,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860222,163.19,4,2,3,有,有,12500000,76598,坡道平面,0,0,陽台外推；,RPROMLNJLHHGFDF77DA,104.09,0,11.92,有
新店區,房地(土地+建物),新北市新店區安祥路１０６巷１６７號,107.32,,山坡地保育區,丙種建築用地,1110224,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,870608,180.28,4,2,3,有,有,15300000,84868,,0,0,陽台外推；頂樓加蓋；,RPSNMLNJLHHGFCF67DA,151.53,18.77,9.98,無
新店區,房地(土地+建物)+車位,新北市新店區中央六街４８號二樓,31.49,住,,,1110213,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020524,144.74,2,2,2,有,無,24300000,167887,一樓平面,0,0,,RPSNMLOJLHHGFCF77DA,65.28,6.83,8.37,有
新莊區,土地,瓊林段948-5地號,434.5,住,,,1110224,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,47317000,108900,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLMJLHHGFBF17DA,0,0,0,無
泰山區,房地(土地+建物)+車位,新北市泰山區信華六街１３號十一樓,15.02,住,,,1110217,土地2建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020503,112.45,2,1,1,有,有,12000000,106714,坡道平面,35.06,0,,RPSTMLMJLHHGFBF08DA,46.42,0,5.08,有
五股區,房地(土地+建物)+車位,新北市五股區新城六路１７１號十四樓,9.52,商,,,1110206,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100517,121.04,3,2,2,有,有,14500000,132293,坡道平面,30.71,2550000,含裝潢費550000元；含傢俱設備費；,RPRQMLNJLHHGFBF77DA,49.52,4.69,6.76,有
五股區,房地(土地+建物)+車位,新北市五股區芳洲一路６６號十二樓,20.66,住,,,1110219,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100716,113.97,2,2,1,有,有,12100000,116645,坡道平面,28.24,2100000,,RPUTMLNJLHHGFBF38DA,53.14,0,3.32,有
五股區,房地(土地+建物)+車位,新北市五股區芳洲一路９０號十三樓,28.82,住,,,1110223,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100716,176.43,3,2,2,有,有,18680000,119050,坡道平面,56.48,4400000,,RPVTMLNJLHHGFBF48DA,71.99,0,6.88,有
泰山區,房地(土地+建物),新北市泰山區泰林路二段４５４號四樓,18.13,住,,,1110224,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690815,73.15,2,1,1,有,無,5000000,68353,,0,0,含土地增值稅或其他稅費41228元；,RPTNMLOJLHHGFBF77DA,73.15,0,0,無
泰山區,房地(土地+建物),新北市泰山區忠孝街１９巷１弄３０號二樓,23.25,住,,,1110212,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691223,74.07,2,1,1,有,無,3200000,43202,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLOJLHHGFBF77DA,74.07,0,0,無
新莊區,房地(土地+建物),新北市新莊區福壽街１６４巷１６號四樓,25.16,住,,,1110213,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751212,92.94,3,2,2,有,無,9700000,104368,,0,0,其他增建；,RPXRMLNJLHHGFBF48DA,74.19,0,11.59,無
新莊區,房地(土地+建物),新北市新莊區萬安街１４９巷７號,18.95,住,,,1110212,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700602,68.08,3,1,1,有,無,9100000,133666,,0,0,其他增建；,RPWQMLOJLHHGFBF38DA,59.6,8.48,0,無
